"Origin","OriginTerm","CoreTerm"
"icd10cm:A000:official","cholera due to vibrio cholerae 01, biovar cholerae","cholera"
"icd10cm:A01:official","typhoid and paratyphoid fevers","typhoid paratyphoid fevers"
"icd10cm:A0100:official","typhoid fever, unspecified","typhoid fever"
"icd10cm:A011:official","paratyphoid fever a","paratyphoid fever"
"icd10cm:A02:official","other salmonella infections","salmonella infections"
"icd10cm:A0220:official","localized salmonella infection, unspecified","localized salmonella infection"
"icd10cm:A0229:official","salmonella with other localized infection","salmonella"
"icd10cm:A028:official","other specified salmonella infections","specified salmonella infections"
"icd10cm:A029:official","salmonella infection, unspecified","salmonella infection"
"icd10cm:A030:official","shigellosis due to shigella dysenteriae","shigellosis"
"icd10cm:A04:official","other bacterial intestinal infections","bacterial intestinal infections"
"icd10cm:A044:official","other intestinal escherichia coli infections","intestinal escherichia coli infections"
"icd10cm:A046:official","enteritis due to yersinia enterocolitica","enteritis"
"icd10cm:A047:official","enterocolitis due to clostridium difficile","enterocolitis"
"icd10cm:A048:official","other specified bacterial intestinal infections","specified bacterial intestinal infections"
"icd10cm:A049:official","bacterial intestinal infection, unspecified","bacterial intestinal infection"
"icd10cm:A05:official","other bacterial foodborne intoxications, not elsewhere classified","bacterial foodborne intoxications"
"icd10cm:A052:official","foodborne clostridium perfringens [clostridium welchii] intoxication","perfringens welchii intoxication"
"icd10cm:A058:official","other specified bacterial foodborne intoxications","specified bacterial foodborne intoxications"
"icd10cm:A059:official","bacterial foodborne intoxication, unspecified","bacterial foodborne intoxication"
"icd10cm:A063:official","ameboma of intestine","intestine ameboma"
"icd10cm:A068:official","amebic infection of other sites","sites amebic infection"
"icd10cm:A0682:official","other amebic genitourinary infections","amebic genitourinary infections"
"icd10cm:A0689:official","other amebic infections","amebic infections"
"icd10cm:A069:official","amebiasis, unspecified","amebiasis"
"icd10cm:A07:official","other protozoal intestinal diseases","protozoal intestinal diseases"
"icd10cm:A071:official","giardiasis [lambliasis]","giardiasis lambliasis"
"icd10cm:A078:official","other specified protozoal intestinal diseases","specified protozoal intestinal diseases"
"icd10cm:A079:official","protozoal intestinal disease, unspecified","protozoal intestinal disease"
"icd10cm:A08:official","viral and other specified intestinal infections","viral intestinal infections"
"icd10cm:A081:official","acute gastroenteropathy due to norwalk agent and other small round viruses","acute gastroenteropathy"
"icd10cm:A083:official","other viral enteritis","viral enteritis"
"icd10cm:A084:official","viral intestinal infection, unspecified","viral intestinal infection"
"icd10cm:A088:official","other specified intestinal infections","specified intestinal infections"
"icd10cm:A09:official","infectious gastroenteritis and colitis, unspecified","infectious gastroenteritis colitis"
"icd10cm:A150:official","tuberculosis of lung","lung tuberculosis"
"icd10cm:A154:official","tuberculosis of intrathoracic lymph nodes","intrathoracic lymph nodes tuberculosis"
"icd10cm:A155:official","tuberculosis of larynx, trachea and bronchus","larynx trachea bronchus tuberculosis"
"icd10cm:A158:official","other respiratory tuberculosis","respiratory tuberculosis"
"icd10cm:A17:official","tuberculosis of nervous system","nervous system tuberculosis"
"icd10cm:A1781:official","tuberculoma of brain and spinal cord","brain spinal cord tuberculoma"
"icd10cm:A18:official","tuberculosis of other organs","organs tuberculosis"
"icd10cm:A180:official","tuberculosis of bones and joints","bones joints tuberculosis"
"icd10cm:A1801:official","tuberculosis of spine","spine tuberculosis"
"icd10cm:A1802:official","tuberculous arthritis of other joints","joints tuberculous arthritis"
"icd10cm:A1803:official","tuberculosis of other bones","bones tuberculosis"
"icd10cm:A1809:official","other musculoskeletal tuberculosis","musculoskeletal tuberculosis"
"icd10cm:A181:official","tuberculosis of genitourinary system","genitourinary system tuberculosis"
"icd10cm:A1811:official","tuberculosis of kidney and ureter","kidney ureter tuberculosis"
"icd10cm:A1812:official","tuberculosis of bladder","bladder tuberculosis"
"icd10cm:A1813:official","tuberculosis of other urinary organs","urinary organs tuberculosis"
"icd10cm:A1814:official","tuberculosis of prostate","prostate tuberculosis"
"icd10cm:A1815:official","tuberculosis of other male genital organs","male genital organs tuberculosis"
"icd10cm:A1816:official","tuberculosis of cervix","cervix tuberculosis"
"icd10cm:A1817:official","tuberculous female pelvic inflammatory disease","tuberculous pelvic disease"
"icd10cm:A1818:official","tuberculosis of other female genital organs","female genital organs tuberculosis"
"icd10cm:A183:official","tuberculosis of intestines, peritoneum and mesenteric glands","intestines peritoneum mesenteric glands tuberculosis"
"icd10cm:A184:official","tuberculosis of skin and subcutaneous tissue","skin subcutaneous tissue tuberculosis"
"icd10cm:A185:official","tuberculosis of eye","eye tuberculosis"
"icd10cm:A186:official","tuberculosis of (inner) (middle) ear","inner middle ear tuberculosis"
"icd10cm:A187:official","tuberculosis of adrenal glands","adrenal glands tuberculosis"
"icd10cm:A188:official","tuberculosis of other specified organs","specified organs tuberculosis"
"icd10cm:A1881:official","tuberculosis of thyroid gland","thyroid gland tuberculosis"
"icd10cm:A1882:official","tuberculosis of other endocrine glands","endocrine glands tuberculosis"
"icd10cm:A1883:official","tuberculosis of digestive tract organs, not elsewhere classified","digestive tract organs not elsewhere classified tuberculosis"
"icd10cm:A1884:official","tuberculosis of heart","heart tuberculosis"
"icd10cm:A1885:official","tuberculosis of spleen","spleen tuberculosis"
"icd10cm:A1889:official","tuberculosis of other sites","sites tuberculosis"
"icd10cm:A190:official","acute miliary tuberculosis of a single specified site","single specified site acute miliary tuberculosis"
"icd10cm:A191:official","acute miliary tuberculosis of multiple sites","multiple sites acute miliary tuberculosis"
"icd10cm:A192:official","acute miliary tuberculosis, unspecified","acute miliary tuberculosis"
"icd10cm:A198:official","other miliary tuberculosis","miliary tuberculosis"
"icd10cm:A208:official","other forms of plague","plague"
"icd10cm:A218:official","other forms of tularemia","tularemia"
"icd10cm:A228:official","other forms of anthrax","anthrax"
"icd10cm:A230:official","brucellosis due to brucella melitensis","brucellosis"
"icd10cm:A24:official","glanders and melioidosis","glanders melioidosis"
"icd10cm:A241:official","acute and fulminating melioidosis","acute fulminating melioidosis"
"icd10cm:A242:official","subacute and chronic melioidosis","subacute chronic melioidosis"
"icd10cm:A243:official","other melioidosis","melioidosis"
"icd10cm:A25:official","rat-bite fevers","rat bite fevers"
"icd10cm:A259:official","rat-bite fever, unspecified","rat bite fever"
"icd10cm:A268:official","other forms of erysipeloid","erysipeloid"
"icd10cm:A278:official","other forms of leptospirosis","leptospirosis"
"icd10cm:A2781:official","aseptic meningitis in leptospirosis","aseptic meningitis leptospirosis"
"icd10cm:A28:official","other zoonotic bacterial diseases, not elsewhere classified","zoonotic bacterial diseases"
"icd10cm:A281:official","cat-scratch disease","cat scratch disease"
"icd10cm:A288:official","other specified zoonotic bacterial diseases, not elsewhere classified","specified zoonotic bacterial diseases"
"icd10cm:A289:official","zoonotic bacterial disease, unspecified","zoonotic bacterial disease"
"icd10cm:A30:official","leprosy [hansen's disease]","leprosy hansen's disease"
"icd10cm:A308:official","other forms of leprosy","leprosy"
"icd10cm:A31:official","infection due to other mycobacteria","infection"
"icd10cm:A312:official","disseminated mycobacterium avium-intracellulare complex (dmac)","avium intracellulare dmac"
"icd10cm:A318:official","other mycobacterial infections","mycobacterial infections"
"icd10cm:A319:official","mycobacterial infection, unspecified","mycobacterial infection"
"icd10cm:A321:official","listerial meningitis and meningoencephalitis","listerial meningitis meningoencephalitis"
"icd10cm:A328:official","other forms of listeriosis","listeriosis"
"icd10cm:A35:official","other tetanus","tetanus"
"icd10cm:A368:official","other diphtheria","diphtheria"
"icd10cm:A3684:official","diphtheritic tubulo-interstitial nephropathy","diphtheritic tubulo interstitial nephropathy"
"icd10cm:A3689:official","other diphtheritic complications","diphtheritic complications"
"icd10cm:A370:official","whooping cough due to bordetella pertussis","whooping cough"
"icd10cm:A380:official","scarlet fever with otitis media","scarlet fever"
"icd10cm:A391:official","waterhouse-friderichsen syndrome","waterhouse friderichsen syndrome"
"icd10cm:A394:official","meningococcemia, unspecified","meningococcemia"
"icd10cm:A3950:official","meningococcal carditis, unspecified","meningococcal carditis"
"icd10cm:A398:official","other meningococcal infections","meningococcal infections"
"icd10cm:A399:official","meningococcal infection, unspecified","meningococcal infection"
"icd10cm:A400:official","sepsis due to streptococcus, group a","sepsis"
"icd10cm:A408:official","other streptococcal sepsis","streptococcal sepsis"
"icd10cm:A4150:official","gram-negative sepsis, unspecified","gram negative sepsis"
"icd10cm:A418:official","other specified sepsis","specified sepsis"
"icd10cm:A428:official","other forms of actinomycosis","actinomycosis"
"icd10cm:A438:official","other forms of nocardiosis","nocardiosis"
"icd10cm:A441:official","cutaneous and mucocutaneous bartonellosis","cutaneous mucocutaneous bartonellosis"
"icd10cm:A448:official","other forms of bartonellosis","bartonellosis"
"icd10cm:A48:official","other bacterial diseases, not elsewhere classified","bacterial diseases"
"icd10cm:A481:official","legionnaires' disease","legionnaires disease"
"icd10cm:A482:official","nonpneumonic legionnaires' disease [pontiac fever]","nonpneumonic pontiac fever"
"icd10cm:A485:official","other specified botulism","specified botulism"
"icd10cm:A488:official","other specified bacterial diseases","specified bacterial diseases"
"icd10cm:A49:official","bacterial infection of unspecified site","site bacterial infection"
"icd10cm:A490:official","staphylococcal infection, unspecified site","staphylococcal infection"
"icd10cm:A4901:official","methicillin susceptible staphylococcus aureus infection, unspecified site","methicillin susceptible infection"
"icd10cm:A4902:official","methicillin resistant staphylococcus aureus infection, unspecified site","methicillin resistant infection"
"icd10cm:A491:official","streptococcal infection, unspecified site","streptococcal infection"
"icd10cm:A492:official","hemophilus influenzae infection, unspecified site","hemophilus influenzae infection"
"icd10cm:A493:official","mycoplasma infection, unspecified site","mycoplasma infection"
"icd10cm:A498:official","other bacterial infections of unspecified site","site bacterial infections"
"icd10cm:A499:official","bacterial infection, unspecified","bacterial infection"
"icd10cm:A500:official","early congenital syphilis, symptomatic","early congenital syphilis"
"icd10cm:A5030:official","late congenital syphilitic oculopathy, unspecified","late congenital syphilitic oculopathy"
"icd10cm:A5031:official","late congenital syphilitic interstitial keratitis","late syphilitic keratitis"
"icd10cm:A504:official","late congenital neurosyphilis [juvenile neurosyphilis]","late neurosyphilis neurosyphilis"
"icd10cm:A5040:official","late congenital neurosyphilis, unspecified","late congenital neurosyphilis"
"icd10cm:A5044:official","late congenital syphilitic optic nerve atrophy","late syphilitic atrophy"
"icd10cm:A505:official","other late congenital syphilis, symptomatic","late congenital syphilis"
"icd10cm:A509:official","congenital syphilis, unspecified","congenital syphilis"
"icd10cm:A512:official","primary syphilis of other sites","sites primary syphilis"
"icd10cm:A513:official","secondary syphilis of skin and mucous membranes","skin mucous membranes syphilis"
"icd10cm:A5139:official","other secondary syphilis of skin","skin syphilis"
"icd10cm:A514:official","other secondary syphilis","syphilis"
"icd10cm:A5141:official","secondary syphilitic meningitis","syphilitic meningitis"
"icd10cm:A5142:official","secondary syphilitic female pelvic disease","syphilitic pelvic disease"
"icd10cm:A5143:official","secondary syphilitic oculopathy","syphilitic oculopathy"
"icd10cm:A5144:official","secondary syphilitic nephritis","syphilitic nephritis"
"icd10cm:A5145:official","secondary syphilitic hepatitis","syphilitic hepatitis"
"icd10cm:A5146:official","secondary syphilitic osteopathy","syphilitic osteopathy"
"icd10cm:A5149:official","other secondary syphilitic conditions","syphilitic conditions"
"icd10cm:A515:official","early syphilis, latent","early syphilis"
"icd10cm:A520:official","cardiovascular and cerebrovascular syphilis","cardiovascular cerebrovascular syphilis"
"icd10cm:A5200:official","cardiovascular syphilis, unspecified","cardiovascular syphilis"
"icd10cm:A5201:official","syphilitic aneurysm of aorta","aorta syphilitic aneurysm"
"icd10cm:A5205:official","other cerebrovascular syphilis","cerebrovascular syphilis"
"icd10cm:A5206:official","other syphilitic heart involvement","syphilitic heart involvement"
"icd10cm:A521:official","symptomatic neurosyphilis","neurosyphilis"
"icd10cm:A5212:official","other cerebrospinal syphilis","cerebrospinal syphilis"
"icd10cm:A5216:official","charcot's arthropathy (tabetic)","charcot's arthropathy tabetic"
"icd10cm:A527:official","other symptomatic late syphilis","late syphilis"
"icd10cm:A5272:official","syphilis of lung and bronchus","lung bronchus syphilis"
"icd10cm:A5273:official","symptomatic late syphilis of other respiratory organs","respiratory organs late syphilis"
"icd10cm:A5274:official","syphilis of liver and other viscera","liver viscera syphilis"
"icd10cm:A5275:official","syphilis of kidney and ureter","kidney ureter syphilis"
"icd10cm:A5276:official","other genitourinary symptomatic late syphilis","genitourinary late syphilis"
"icd10cm:A5277:official","syphilis of bone and joint","bone joint syphilis"
"icd10cm:A5278:official","syphilis of other musculoskeletal tissue","musculoskeletal tissue syphilis"
"icd10cm:A530:official","latent syphilis, unspecified as early or late","latent syphilis"
"icd10cm:A540:official","gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess","lower genitourinary tract periurethral accessory gland abscess gonococcal infection"
"icd10cm:A5400:official","gonococcal infection of lower genitourinary tract, unspecified","lower genitourinary tract gonococcal infection"
"icd10cm:A5401:official","gonococcal cystitis and urethritis, unspecified","gonococcal cystitis urethritis"
"icd10cm:A5402:official","gonococcal vulvovaginitis, unspecified","gonococcal vulvovaginitis"
"icd10cm:A5403:official","gonococcal cervicitis, unspecified","gonococcal cervicitis"
"icd10cm:A542:official","gonococcal pelviperitonitis and other gonococcal genitourinary infection","pelviperitonitis genitourinary infection"
"icd10cm:A5421:official","gonococcal infection of kidney and ureter","kidney ureter gonococcal infection"
"icd10cm:A5423:official","gonococcal infection of other male genital organs","male genital organs gonococcal infection"
"icd10cm:A5424:official","gonococcal female pelvic inflammatory disease","gonococcal pelvic disease"
"icd10cm:A5429:official","other gonococcal genitourinary infections","gonococcal genitourinary infections"
"icd10cm:A543:official","gonococcal infection of eye","eye gonococcal infection"
"icd10cm:A5439:official","other gonococcal eye infection","gonococcal eye infection"
"icd10cm:A544:official","gonococcal infection of musculoskeletal system","musculoskeletal system gonococcal infection"
"icd10cm:A5449:official","gonococcal infection of other musculoskeletal tissue","musculoskeletal tissue gonococcal infection"
"icd10cm:A546:official","gonococcal infection of anus and rectum","anus rectum gonococcal infection"
"icd10cm:A548:official","other gonococcal infections","gonococcal infections"
"icd10cm:A549:official","gonococcal infection, unspecified","gonococcal infection"
"icd10cm:A55:official","chlamydial lymphogranuloma (venereum)","chlamydial lymphogranuloma venereum"
"icd10cm:A56:official","other sexually transmitted chlamydial diseases","sexually transmitted chlamydial diseases"
"icd10cm:A560:official","chlamydial infection of lower genitourinary tract","lower genitourinary tract chlamydial infection"
"icd10cm:A5601:official","chlamydial cystitis and urethritis","chlamydial cystitis urethritis"
"icd10cm:A561:official","chlamydial infection of pelviperitoneum and other genitourinary organs","pelviperitoneum genitourinary organs chlamydial infection"
"icd10cm:A5611:official","chlamydial female pelvic inflammatory disease","chlamydial pelvic disease"
"icd10cm:A5619:official","other chlamydial genitourinary infection","chlamydial genitourinary infection"
"icd10cm:A562:official","chlamydial infection of genitourinary tract, unspecified","genitourinary tract chlamydial infection"
"icd10cm:A563:official","chlamydial infection of anus and rectum","anus rectum chlamydial infection"
"icd10cm:A564:official","chlamydial infection of pharynx","pharynx chlamydial infection"
"icd10cm:A568:official","sexually transmitted chlamydial infection of other sites","sites sexually transmitted chlamydial infection"
"icd10cm:A5900:official","urogenital trichomoniasis, unspecified","urogenital trichomoniasis"
"icd10cm:A5903:official","trichomonal cystitis and urethritis","trichomonal cystitis urethritis"
"icd10cm:A598:official","trichomoniasis of other sites","sites trichomoniasis"
"icd10cm:A599:official","trichomoniasis, unspecified","trichomoniasis"
"icd10cm:A60:official","anogenital herpesviral [herpes simplex] infections","anogenital simplex infections"
"icd10cm:A600:official","herpesviral infection of genitalia and urogenital tract","genitalia urogenital tract herpesviral infection"
"icd10cm:A6000:official","herpesviral infection of urogenital system, unspecified","urogenital system herpesviral infection"
"icd10cm:A6001:official","herpesviral infection of penis","penis herpesviral infection"
"icd10cm:A6002:official","herpesviral infection of other male genital organs","male genital organs herpesviral infection"
"icd10cm:A6009:official","herpesviral infection of other urogenital tract","urogenital tract herpesviral infection"
"icd10cm:A601:official","herpesviral infection of perianal skin and rectum","perianal skin rectum herpesviral infection"
"icd10cm:A609:official","anogenital herpesviral infection, unspecified","anogenital herpesviral infection"
"icd10cm:A63:official","other predominantly sexually transmitted diseases, not elsewhere classified","predominantly sexually transmitted diseases"
"icd10cm:A630:official","anogenital (venereal) warts","anogenital venereal warts"
"icd10cm:A638:official","other specified predominantly sexually transmitted diseases","sexually transmitted diseases"
"icd10cm:A64:official","unspecified sexually transmitted disease","sexually transmitted disease"
"icd10cm:A660:official","initial lesions of yaws","yaws initial lesions"
"icd10cm:A661:official","multiple papillomata and wet crab yaws","papillomata crab yaws"
"icd10cm:A662:official","other early skin lesions of yaws","yaws early skin lesions"
"icd10cm:A663:official","hyperkeratosis of yaws","yaws hyperkeratosis"
"icd10cm:A664:official","gummata and ulcers of yaws","yaws gummata ulcers"
"icd10cm:A666:official","bone and joint lesions of yaws","yaws bone joint lesions"
"icd10cm:A667:official","other manifestations of yaws","yaws manifestations"
"icd10cm:A669:official","yaws, unspecified","yaws"
"icd10cm:A67:official","pinta [carate]","pinta carate"
"icd10cm:A670:official","primary lesions of pinta","pinta primary lesions"
"icd10cm:A671:official","intermediate lesions of pinta","pinta intermediate lesions"
"icd10cm:A672:official","late lesions of pinta","pinta late lesions"
"icd10cm:A673:official","mixed lesions of pinta","pinta mixed lesions"
"icd10cm:A679:official","pinta, unspecified","pinta"
"icd10cm:A680:official","louse-borne relapsing fever","louse borne relapsing fever"
"icd10cm:A681:official","tick-borne relapsing fever","tick borne relapsing fever"
"icd10cm:A689:official","relapsing fever, unspecified","relapsing fever"
"icd10cm:A69:official","other spirochetal infections","spirochetal infections"
"icd10cm:A691:official","other vincent's infections","vincent's infections"
"icd10cm:A6920:official","lyme disease, unspecified","lyme disease"
"icd10cm:A6921:official","meningitis due to lyme disease","meningitis"
"icd10cm:A6922:official","other neurologic disorders in lyme disease","neurologic lyme disease"
"icd10cm:A6923:official","arthritis due to lyme disease","arthritis"
"icd10cm:A6929:official","other conditions associated with lyme disease","conditions associated"
"icd10cm:A698:official","other specified spirochetal infections","specified spirochetal infections"
"icd10cm:A699:official","spirochetal infection, unspecified","spirochetal infection"
"icd10cm:A710:official","initial stage of trachoma","trachoma initial stage"
"icd10cm:A711:official","active stage of trachoma","trachoma active stage"
"icd10cm:A719:official","trachoma, unspecified","trachoma"
"icd10cm:A74:official","other diseases caused by chlamydiae","diseases caused chlamydiae"
"icd10cm:A748:official","other chlamydial diseases","chlamydial diseases"
"icd10cm:A749:official","chlamydial infection, unspecified","chlamydial infection"
"icd10cm:A750:official","epidemic louse-borne typhus fever due to rickettsia prowazekii","epidemic louse fever"
"icd10cm:A751:official","recrudescent typhus [brill's disease]","recrudescent typhus brill's disease"
"icd10cm:A752:official","typhus fever due to rickettsia typhi","typhus fever"
"icd10cm:A77:official","spotted fever [tick-borne rickettsioses]","spotted tick rickettsioses"
"icd10cm:A770:official","spotted fever due to rickettsia rickettsii","spotted fever"
"icd10cm:A7740:official","ehrlichiosis, unspecified","ehrlichiosis"
"icd10cm:A7741:official","ehrlichiosis chaffeensis [e. chaffeensis]","ehrlichiosis chaffeensis e chaffeensis"
"icd10cm:A778:official","other spotted fevers","spotted fevers"
"icd10cm:A79:official","other rickettsioses","rickettsioses"
"icd10cm:A791:official","rickettsialpox due to rickettsia akari","rickettsialpox"
"icd10cm:A798:official","other specified rickettsioses","specified rickettsioses"
"icd10cm:A7981:official","rickettsiosis due to ehrlichia sennetsu","rickettsiosis"
"icd10cm:A7982:official","anaplasmosis [a. phagocytophilum]","anaplasmosis phagocytophilum"
"icd10cm:A800:official","acute paralytic poliomyelitis, vaccine-associated","acute paralytic poliomyelitis"
"icd10cm:A809:official","acute poliomyelitis, unspecified","acute poliomyelitis"
"icd10cm:A81:official","atypical virus infections of central nervous system","central nervous system atypical virus infections"
"icd10cm:A810:official","creutzfeldt-jakob disease","creutzfeldt jakob disease"
"icd10cm:A8101:official","variant creutzfeldt-jakob disease","variant creutzfeldt jakob disease"
"icd10cm:A8182:official","gerstmann-straussler-scheinker syndrome","gerstmann straussler scheinker syndrome"
"icd10cm:A819:official","atypical virus infection of central nervous system, unspecified","central nervous system atypical virus infection"
"icd10cm:A829:official","rabies, unspecified","rabies"
"icd10cm:A83:official","mosquito-borne viral encephalitis","mosquito borne viral encephalitis"
"icd10cm:A84:official","tick-borne viral encephalitis","tick borne viral encephalitis"
"icd10cm:A840:official","far eastern tick-borne encephalitis [russian spring-summer encephalitis]","spring summer encephalitis"
"icd10cm:A841:official","central european tick-borne encephalitis","european tick encephalitis"
"icd10cm:A85:official","other viral encephalitis, not elsewhere classified","viral encephalitis"
"icd10cm:A852:official","arthropod-borne viral encephalitis, unspecified","arthropod borne viral encephalitis"
"icd10cm:A858:official","other specified viral encephalitis","specified viral encephalitis"
"icd10cm:A878:official","other viral meningitis","viral meningitis"
"icd10cm:A88:official","other viral infections of central nervous system, not elsewhere classified","central nervous system not elsewhere classified viral infections"
"icd10cm:A880:official","enteroviral exanthematous fever [boston exanthem]","exanthematous boston exanthem"
"icd10cm:A888:official","other specified viral infections of central nervous system","central nervous system specified viral infections"
"icd10cm:A89:official","unspecified viral infection of central nervous system","central nervous system viral infection"
"icd10cm:A90:official","dengue fever [classical dengue]","dengue fever classical dengue"
"icd10cm:A92:official","other mosquito-borne viral fevers","mosquito borne viral fevers"
"icd10cm:A921:official","o'nyong-nyong fever","o'nyong nyong fever"
"icd10cm:A9230:official","west nile virus infection, unspecified","west nile virus infection"
"icd10cm:A928:official","other specified mosquito-borne viral fevers","mosquito borne fevers"
"icd10cm:A929:official","mosquito-borne viral fever, unspecified","mosquito borne viral fever"
"icd10cm:A93:official","other arthropod-borne viral fevers, not elsewhere classified","arthropod borne viral fevers"
"icd10cm:A938:official","other specified arthropod-borne viral fevers","arthropod borne fevers"
"icd10cm:A94:official","unspecified arthropod-borne viral fever","arthropod borne fever"
"icd10cm:A959:official","yellow fever, unspecified","yellow fever"
"icd10cm:A968:official","other arenaviral hemorrhagic fevers","arenaviral hemorrhagic fevers"
"icd10cm:A969:official","arenaviral hemorrhagic fever, unspecified","arenaviral hemorrhagic fever"
"icd10cm:A98:official","other viral hemorrhagic fevers, not elsewhere classified","viral hemorrhagic fevers"
"icd10cm:A980:official","crimean-congo hemorrhagic fever","crimean congo hemorrhagic fever"
"icd10cm:A985:official","hemorrhagic fever with renal syndrome","hemorrhagic fever"
"icd10cm:A988:official","other specified viral hemorrhagic fevers","specified viral hemorrhagic fevers"
"icd10cm:A99:official","unspecified viral hemorrhagic fever","viral hemorrhagic fever"
"icd10cm:B00:official","herpesviral [herpes simplex] infections","herpesviral herpes simplex infections"
"icd10cm:B002:official","herpesviral gingivostomatitis and pharyngotonsillitis","herpesviral gingivostomatitis pharyngotonsillitis"
"icd10cm:B0050:official","herpesviral ocular disease, unspecified","herpesviral ocular disease"
"icd10cm:B0059:official","other herpesviral disease of eye","eye herpesviral disease"
"icd10cm:B008:official","other forms of herpesviral infections","herpesviral infections"
"icd10cm:B0089:official","other herpesviral infection","herpesviral infection"
"icd10cm:B01:official","varicella [chickenpox]","varicella chickenpox"
"icd10cm:B011:official","varicella encephalitis, myelitis and encephalomyelitis","varicella encephalitis"
"icd10cm:B0111:official","varicella encephalitis and encephalomyelitis","varicella encephalitis encephalomyelitis"
"icd10cm:B018:official","varicella with other complications","varicella"
"icd10cm:B0189:official","other varicella complications","varicella complications"
"icd10cm:B02:official","zoster [herpes zoster]","zoster herpes zoster"
"icd10cm:B022:official","zoster with other nervous system involvement","zoster"
"icd10cm:B0229:official","other postherpetic nervous system involvement","postherpetic nervous system involvement"
"icd10cm:B0230:official","zoster ocular disease, unspecified","zoster ocular disease"
"icd10cm:B0239:official","other herpes zoster eye disease","herpes zoster eye disease"
"icd10cm:B050:official","measles complicated by encephalitis","measles complicated encephalitis"
"icd10cm:B051:official","measles complicated by meningitis","measles complicated meningitis"
"icd10cm:B052:official","measles complicated by pneumonia","measles complicated pneumonia"
"icd10cm:B053:official","measles complicated by otitis media","measles complicated media"
"icd10cm:B054:official","measles with intestinal complications","measles"
"icd10cm:B0581:official","measles keratitis and keratoconjunctivitis","measles keratitis keratoconjunctivitis"
"icd10cm:B0589:official","other measles complications","measles complications"
"icd10cm:B06:official","rubella [german measles]","rubella german measles"
"icd10cm:B060:official","rubella with neurological complications","rubella"
"icd10cm:B0609:official","other neurological complications of rubella","rubella neurological complications"
"icd10cm:B0689:official","other rubella complications","rubella complications"
"icd10cm:B078:official","other viral warts","viral warts"
"icd10cm:B079:official","viral wart, unspecified","viral wart"
"icd10cm:B08:official","other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified","characterized mucous lesions"
"icd10cm:B080:official","other orthopoxvirus infections","orthopoxvirus infections"
"icd10cm:B0801:official","cowpox and vaccinia not from vaccine","cowpox vaccinia vaccine"
"icd10cm:B08011:official","vaccinia not from vaccine","vaccinia not vaccine"
"icd10cm:B0803:official","pseudocowpox [milker's node]","pseudocowpox milker's node"
"icd10cm:B0804:official","paravaccinia, unspecified","paravaccinia"
"icd10cm:B082:official","exanthema subitum [sixth disease]","exanthema subitum sixth disease"
"icd10cm:B083:official","erythema infectiosum [fifth disease]","erythema infectiosum fifth disease"
"icd10cm:B084:official","enteroviral vesicular stomatitis with exanthem","enteroviral vesicular stomatitis"
"icd10cm:B0860:official","parapoxvirus infection, unspecified","parapoxvirus infection"
"icd10cm:B0869:official","other parapoxvirus infections","parapoxvirus infections"
"icd10cm:B0870:official","yatapoxvirus infection, unspecified","yatapoxvirus infection"
"icd10cm:B0879:official","other yatapoxvirus infections","yatapoxvirus infections"
"icd10cm:B10:official","other human herpesviruses","human herpesviruses"
"icd10cm:B100:official","other human herpesvirus encephalitis","human herpesvirus encephalitis"
"icd10cm:B108:official","other human herpesvirus infection","human herpesvirus infection"
"icd10cm:B15:official","acute hepatitis a","acute hepatitis"
"icd10cm:B150:official","hepatitis a with hepatic coma","hepatitis"
"icd10cm:B160:official","acute hepatitis b with delta-agent with hepatic coma","acute hepatitis b"
"icd10cm:B17:official","other acute viral hepatitis","acute viral hepatitis"
"icd10cm:B170:official","acute delta-(super) infection of hepatitis b carrier","hepatitis b carrier acute delta super infection"
"icd10cm:B1710:official","acute hepatitis c without hepatic coma","acute hepatitis c"
"icd10cm:B178:official","other specified acute viral hepatitis","specified acute viral hepatitis"
"icd10cm:B180:official","chronic viral hepatitis b with delta-agent","chronic viral hepatitis b"
"icd10cm:B188:official","other chronic viral hepatitis","chronic viral hepatitis"
"icd10cm:B19:official","unspecified viral hepatitis","viral hepatitis"
"icd10cm:B191:official","unspecified viral hepatitis b","viral hepatitis b"
"icd10cm:B192:official","unspecified viral hepatitis c","viral hepatitis c"
"icd10cm:B20:official","human immunodeficiency virus [hiv] disease","human hiv disease"
"icd10cm:B258:official","other cytomegaloviral diseases","cytomegaloviral diseases"
"icd10cm:B259:official","cytomegaloviral disease, unspecified","cytomegaloviral disease"
"icd10cm:B268:official","mumps with other complications","mumps"
"icd10cm:B2689:official","other mumps complications","mumps complications"
"icd10cm:B2700:official","gammaherpesviral mononucleosis without complication","gammaherpesviral mononucleosis"
"icd10cm:B2710:official","cytomegaloviral mononucleosis without complications","cytomegaloviral mononucleosis"
"icd10cm:B278:official","other infectious mononucleosis","infectious mononucleosis"
"icd10cm:B300:official","keratoconjunctivitis due to adenovirus","keratoconjunctivitis"
"icd10cm:B301:official","conjunctivitis due to adenovirus","conjunctivitis"
"icd10cm:B303:official","acute epidemic hemorrhagic conjunctivitis (enteroviral)","epidemic hemorrhagic enteroviral"
"icd10cm:B308:official","other viral conjunctivitis","viral conjunctivitis"
"icd10cm:B33:official","other viral diseases, not elsewhere classified","viral diseases"
"icd10cm:B3320:official","viral carditis, unspecified","viral carditis"
