"Origin","OriginTerm","CoreTerm"
"icd10cm:H44413:official","flat anterior chamber hypotony of eye, bilateral","eye bilateral flat anterior chamber hypotony"
"icd10cm:H4442:official","hypotony of eye due to ocular fistula","eye ocular fistula hypotony"
"icd10cm:H44421:official","hypotony of right eye due to ocular fistula","right eye ocular fistula hypotony"
"icd10cm:H44422:official","hypotony of left eye due to ocular fistula","left eye ocular fistula hypotony"
"icd10cm:H44423:official","hypotony of eye due to ocular fistula, bilateral","eye ocular fistula bilateral hypotony"
"icd10cm:H4443:official","hypotony of eye due to other ocular disorders","eye ocular disorders hypotony"
"icd10cm:H44431:official","hypotony of eye due to other ocular disorders, right eye","eye ocular disorders right eye hypotony"
"icd10cm:H44432:official","hypotony of eye due to other ocular disorders, left eye","eye ocular disorders left eye hypotony"
"icd10cm:H44433:official","hypotony of eye due to other ocular disorders, bilateral","eye ocular disorders bilateral hypotony"
"icd10cm:H44439:official","hypotony of eye due to other ocular disorders, unspecified eye","eye ocular disorders eye hypotony"
"icd10cm:H4444:official","primary hypotony of eye","eye primary hypotony"
"icd10cm:H44441:official","primary hypotony of right eye","right eye primary hypotony"
"icd10cm:H44442:official","primary hypotony of left eye","left eye primary hypotony"
"icd10cm:H44443:official","primary hypotony of eye, bilateral","eye bilateral primary hypotony"
"icd10cm:H445:official","degenerated conditions of globe","globe degenerated conditions"
"icd10cm:H44511:official","absolute glaucoma, right eye","absolute glaucoma"
"icd10cm:H4452:official","atrophy of globe","globe atrophy"
"icd10cm:H44521:official","atrophy of globe, right eye","globe right eye atrophy"
"icd10cm:H44522:official","atrophy of globe, left eye","globe left eye atrophy"
"icd10cm:H44523:official","atrophy of globe, bilateral","globe bilateral atrophy"
"icd10cm:H44529:official","atrophy of globe, unspecified eye","globe eye atrophy"
"icd10cm:H44531:official","leucocoria, right eye","leucocoria"
"icd10cm:H446:official","retained (old) intraocular foreign body, magnetic","retained intraocular body"
"icd10cm:H4461:official","retained (old) magnetic foreign body in anterior chamber","magnetic foreign chamber"
"icd10cm:H4462:official","retained (old) magnetic foreign body in iris or ciliary body","iris ciliary body"
