"Origin","OriginTerm","CoreTerm"
"icd10cm:S62626D:official","displaced fracture of middle phalanx of right little finger, subsequent encounter for fracture with routine healing","middle phalanx right little finger subsequent encounter fracture routine healing displaced fracture"
"icd10cm:S62626D:official+abbr","disp fx of middle phalanx of r little finger, 7thd","middle phalanx r little finger 7thd disp fx"
"icd10cm:S62626G:official","displaced fracture of middle phalanx of right little finger, subsequent encounter for fracture with delayed healing","middle phalanx right little finger subsequent encounter fracture delayed healing displaced fracture"
"icd10cm:S62626G:official+abbr","disp fx of middle phalanx of r little finger, 7thg","middle phalanx r little finger 7thg disp fx"
"icd10cm:S62626K:official","displaced fracture of middle phalanx of right little finger, subsequent encounter for fracture with nonunion","middle phalanx right little finger subsequent encounter fracture nonunion displaced fracture"
"icd10cm:S62626K:official+abbr","disp fx of middle phalanx of r little finger, 7thk","middle phalanx r little finger 7thk disp fx"
"icd10cm:S62626P:official","displaced fracture of middle phalanx of right little finger, subsequent encounter for fracture with malunion","middle phalanx right little finger subsequent encounter fracture malunion displaced fracture"
"icd10cm:S62626P:official+abbr","disp fx of middle phalanx of r little finger, 7thp","middle phalanx r little finger 7thp disp fx"
"icd10cm:S62626S:official","displaced fracture of middle phalanx of right little finger, sequela","middle phalanx right little finger sequela displaced fracture"
"icd10cm:S62626S:official+abbr","disp fx of middle phalanx of r little finger, sequela","middle phalanx r little finger sequela disp fx"
"icd10cm:S62627A:official","displaced fracture of middle phalanx of left little finger, initial encounter for closed fracture","middle phalanx left little finger initial encounter closed fracture displaced fracture"
"icd10cm:S62627A:official+abbr","disp fx of middle phalanx of left little finger, init","middle phalanx left little finger init disp fx"
"icd10cm:S62627B:official","displaced fracture of middle phalanx of left little finger, initial encounter for open fracture","middle phalanx left little finger initial encounter open fracture displaced fracture"
"icd10cm:S62627B:official+abbr","disp fx of middle phalanx of left little finger, 7thb","middle phalanx left little finger 7thb disp fx"
"icd10cm:S62627D:official","displaced fracture of middle phalanx of left little finger, subsequent encounter for fracture with routine healing","middle phalanx left little finger subsequent encounter fracture routine healing displaced fracture"
