"Origin","OriginTerm","CoreTerm"
"icd10cm:D378:official","neoplasm of uncertain behavior of other specified digestive organs","uncertain behavior specified digestive organs neoplasm"
"icd10cm:D378:official+abbr","neoplasm of uncertain behavior of oth digestive organs","uncertain behavior oth digestive organs neoplasm"
"icd10cm:D379:official","neoplasm of uncertain behavior of digestive organ, unspecified","uncertain behavior digestive organ neoplasm"
"icd10cm:D379:official+abbr","neoplasm of uncertain behavior of digestive organ, unsp","uncertain behavior digestive organ unsp neoplasm"
"icd10cm:D380:official","neoplasm of uncertain behavior of larynx","uncertain behavior larynx neoplasm"
"icd10cm:D381:official","neoplasm of uncertain behavior of trachea, bronchus and lung","uncertain behavior trachea bronchus lung neoplasm"
"icd10cm:D382:official","neoplasm of uncertain behavior of pleura","uncertain behavior pleura neoplasm"
"icd10cm:D383:official","neoplasm of uncertain behavior of mediastinum","uncertain behavior mediastinum neoplasm"
"icd10cm:D384:official","neoplasm of uncertain behavior of thymus","uncertain behavior thymus neoplasm"
"icd10cm:D385:official","neoplasm of uncertain behavior of other respiratory organs","uncertain behavior respiratory organs neoplasm"
"icd10cm:D386:official","neoplasm of uncertain behavior of respiratory organ, unspecified","uncertain behavior respiratory organ neoplasm"
"icd10cm:D386:official+abbr","neoplasm of uncertain behavior of respiratory organ, unsp","uncertain behavior respiratory organ unsp neoplasm"
"icd10cm:D390:official","neoplasm of uncertain behavior of uterus","uncertain behavior uterus neoplasm"
"icd10cm:D3910:official","neoplasm of uncertain behavior of unspecified ovary","uncertain behavior ovary neoplasm"
"icd10cm:D3911:official","neoplasm of uncertain behavior of right ovary","uncertain behavior right ovary neoplasm"
"icd10cm:D3912:official","neoplasm of uncertain behavior of left ovary","uncertain behavior left ovary neoplasm"
"icd10cm:D392:official","neoplasm of uncertain behavior of placenta","uncertain behavior placenta neoplasm"
"icd10cm:D398:official","neoplasm of uncertain behavior of other specified female genital organs","uncertain behavior specified female genital organs neoplasm"
"icd10cm:D398:official+abbr","neoplasm of uncertain behavior of oth female genital organs","uncertain behavior oth female genital organs neoplasm"
"icd10cm:D399:official","neoplasm of uncertain behavior of female genital organ, unspecified","uncertain behavior female genital organ neoplasm"
"icd10cm:D399:official+abbr","neoplasm of uncertain behavior of female genital organ, unsp","uncertain behavior female genital organ unsp neoplasm"
"icd10cm:D400:official","neoplasm of uncertain behavior of prostate","uncertain behavior prostate neoplasm"
"icd10cm:D4010:official","neoplasm of uncertain behavior of unspecified testis","uncertain behavior testis neoplasm"
"icd10cm:D4011:official","neoplasm of uncertain behavior of right testis","uncertain behavior right testis neoplasm"
"icd10cm:D4012:official","neoplasm of uncertain behavior of left testis","uncertain behavior left testis neoplasm"
"icd10cm:D408:official","neoplasm of uncertain behavior of other specified male genital organs","uncertain behavior specified male genital organs neoplasm"
"icd10cm:D408:official+abbr","neoplasm of uncertain behavior of oth male genital organs","uncertain behavior oth male genital organs neoplasm"
"icd10cm:D409:official","neoplasm of uncertain behavior of male genital organ, unspecified","uncertain behavior male genital organ neoplasm"
"icd10cm:D409:official+abbr","neoplasm of uncertain behavior of male genital organ, unsp","uncertain behavior male genital organ unsp neoplasm"
"icd10cm:D4100:official","neoplasm of uncertain behavior of unspecified kidney","uncertain behavior kidney neoplasm"
"icd10cm:D4101:official","neoplasm of uncertain behavior of right kidney","uncertain behavior right kidney neoplasm"
"icd10cm:D4102:official","neoplasm of uncertain behavior of left kidney","uncertain behavior left kidney neoplasm"
"icd10cm:D4110:official","neoplasm of uncertain behavior of unspecified renal pelvis","uncertain behavior renal pelvis neoplasm"
"icd10cm:D4111:official","neoplasm of uncertain behavior of right renal pelvis","uncertain behavior right renal pelvis neoplasm"
"icd10cm:D4112:official","neoplasm of uncertain behavior of left renal pelvis","uncertain behavior left renal pelvis neoplasm"
"icd10cm:D4120:official","neoplasm of uncertain behavior of unspecified ureter","uncertain behavior ureter neoplasm"
"icd10cm:D4121:official","neoplasm of uncertain behavior of right ureter","uncertain behavior right ureter neoplasm"
"icd10cm:D4122:official","neoplasm of uncertain behavior of left ureter","uncertain behavior left ureter neoplasm"
"icd10cm:D413:official","neoplasm of uncertain behavior of urethra","uncertain behavior urethra neoplasm"
"icd10cm:D414:official","neoplasm of uncertain behavior of bladder","uncertain behavior bladder neoplasm"
"icd10cm:D418:official","neoplasm of uncertain behavior of other specified urinary organs","uncertain behavior specified urinary organs neoplasm"
"icd10cm:D418:official+abbr","neoplasm of uncertain behavior of oth urinary organs","uncertain behavior oth urinary organs neoplasm"
"icd10cm:D419:official","neoplasm of uncertain behavior of unspecified urinary organ","uncertain behavior urinary organ neoplasm"
"icd10cm:D420:official","neoplasm of uncertain behavior of cerebral meninges","uncertain behavior cerebral meninges neoplasm"
"icd10cm:D421:official","neoplasm of uncertain behavior of spinal meninges","uncertain behavior spinal meninges neoplasm"
"icd10cm:D429:official","neoplasm of uncertain behavior of meninges, unspecified","uncertain behavior meninges neoplasm"
"icd10cm:D430:official","neoplasm of uncertain behavior of brain, supratentorial","uncertain behavior brain supratentorial neoplasm"
"icd10cm:D431:official","neoplasm of uncertain behavior of brain, infratentorial","uncertain behavior brain infratentorial neoplasm"
"icd10cm:D432:official","neoplasm of uncertain behavior of brain, unspecified","uncertain behavior brain neoplasm"
"icd10cm:D433:official","neoplasm of uncertain behavior of cranial nerves","uncertain behavior cranial nerves neoplasm"
"icd10cm:D434:official","neoplasm of uncertain behavior of spinal cord","uncertain behavior spinal cord neoplasm"
"icd10cm:D438:official","neoplasm of uncertain behavior of other specified parts of central nervous system","uncertain behavior specified parts central nervous system neoplasm"
"icd10cm:D438:official+abbr","neoplasm of uncertain behavior of prt central nervous system","uncertain behavior prt central nervous system neoplasm"
"icd10cm:D439:official","neoplasm of uncertain behavior of central nervous system, unspecified","uncertain behavior central nervous system neoplasm"
"icd10cm:D439:official+abbr","neoplasm of uncertain behavior of cnsl, unsp","uncertain behavior cnsl unsp neoplasm"
"icd10cm:D440:official","neoplasm of uncertain behavior of thyroid gland","uncertain behavior thyroid gland neoplasm"
"icd10cm:D4410:official","neoplasm of uncertain behavior of unspecified adrenal gland","uncertain behavior adrenal gland neoplasm"
"icd10cm:D4411:official","neoplasm of uncertain behavior of right adrenal gland","uncertain behavior right adrenal gland neoplasm"
"icd10cm:D4412:official","neoplasm of uncertain behavior of left adrenal gland","uncertain behavior left adrenal gland neoplasm"
"icd10cm:D442:official","neoplasm of uncertain behavior of parathyroid gland","uncertain behavior parathyroid gland neoplasm"
"icd10cm:D443:official","neoplasm of uncertain behavior of pituitary gland","uncertain behavior pituitary gland neoplasm"
"icd10cm:D444:official","neoplasm of uncertain behavior of craniopharyngeal duct","uncertain behavior craniopharyngeal duct neoplasm"
"icd10cm:D445:official","neoplasm of uncertain behavior of pineal gland","uncertain behavior pineal gland neoplasm"
"icd10cm:D446:official","neoplasm of uncertain behavior of carotid body","uncertain behavior carotid body neoplasm"
"icd10cm:D447:official","neoplasm of uncertain behavior of aortic body and other paraganglia","uncertain behavior aortic body paraganglia neoplasm"
"icd10cm:D447:official+abbr","neoplasm of uncrt behav of aortic body and oth paraganglia","uncrt behav aortic body oth paraganglia neoplasm"
"icd10cm:D449:official","neoplasm of uncertain behavior of unspecified endocrine gland","uncertain behavior endocrine gland neoplasm"
"icd10cm:D449:official+abbr","neoplasm of uncertain behavior of unsp endocrine gland","uncertain behavior unsp endocrine gland neoplasm"
"icd10cm:D460:official","refractory anemia without ring sideroblasts, so stated","refractory anemia"
"icd10cm:D4620:official","refractory anemia with excess of blasts, unspecified","blasts refractory anemia excess"
"icd10cm:D4621:official","refractory anemia with excess of blasts 1","blasts 1 refractory anemia excess"
"icd10cm:D4622:official","refractory anemia with excess of blasts 2","blasts 2 refractory anemia excess"
"icd10cm:D46A:official","refractory cytopenia with multilineage dysplasia","refractory cytopenia"
"icd10cm:D46B:official+abbr","refract cytopenia w multilin dysplasia and ring sideroblasts","cytopenia multilin sideroblasts"
"icd10cm:D46C:official","myelodysplastic syndrome with isolated del(5q) chromosomal abnormality","myelodysplastic syndrome"
"icd10cm:D46C:official+abbr","myelodysplastic syndrome w isolated del(5q) chromsoml abnlt","5q chromsoml abnlt"
"icd10cm:D46Z:official","other myelodysplastic syndromes","myelodysplastic syndromes"
"icd10cm:D4709:official","other mast cell neoplasms of uncertain behavior","uncertain behavior mast cell neoplasms"
"icd10cm:D473:official","essential (hemorrhagic) thrombocythemia","essential hemorrhagic thrombocythemia"
"icd10cm:D47Z1:official","post-transplant lymphoproliferative disorder (ptld)","transplant lymphoproliferative ptld"
"icd10cm:D47Z9:official","other specified neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue","uncertain behavior lymphoid hematopoietic related tissue specified neoplasms"
"icd10cm:D47Z9:official+abbr","oth neoplm of uncrt behav of lymphoid, hematpoetc & rel tiss","uncrt behav lymphoid hematpoetc rel tiss oth neoplm"
"icd10cm:D479:official","neoplasm of uncertain behavior of lymphoid, hematopoietic and related tissue, unspecified","uncertain behavior lymphoid hematopoietic related tissue neoplasm"
"icd10cm:D479:official+abbr","neoplm of uncrt behav of lymphoid,hematpoetc & rel tiss,unsp","uncrt behav lymphoid hematpoetc rel tiss unsp neoplm"
"icd10cm:D480:official","neoplasm of uncertain behavior of bone and articular cartilage","uncertain behavior bone articular cartilage neoplasm"
"icd10cm:D480:official+abbr","neoplasm of uncertain behavior of bone/artic cartl","uncertain behavior bone artic cartl neoplasm"
"icd10cm:D48110:official","desmoid tumor of head and neck","head neck desmoid tumor"
"icd10cm:D48111:official","desmoid tumor of chest wall","chest wall desmoid tumor"
"icd10cm:D48112:official","desmoid tumor, intrathoracic","desmoid tumor"
"icd10cm:D48113:official","desmoid tumor of abdominal wall","abdominal wall desmoid tumor"
"icd10cm:D48115:official","desmoid tumor of upper extremity and shoulder girdle","upper extremity shoulder girdle desmoid tumor"
"icd10cm:D48116:official","desmoid tumor of lower extremity and pelvic girdle","lower extremity pelvic girdle desmoid tumor"
"icd10cm:D48117:official","desmoid tumor of back","back desmoid tumor"
"icd10cm:D48118:official","desmoid tumor of other site","site desmoid tumor"
"icd10cm:D4819:official","other specified neoplasm of uncertain behavior of connective and other soft tissue","uncertain behavior connective soft tissue specified neoplasm"
"icd10cm:D4819:official+abbr","oth neoplasm of uncertain behavior of connctv/soft tiss","uncertain behavior connctv soft tiss oth neoplasm"
"icd10cm:D482:official","neoplasm of uncertain behavior of peripheral nerves and autonomic nervous system","uncertain behavior peripheral nerves autonomic nervous system neoplasm"
"icd10cm:D482:official+abbr","neoplm of uncrt behav of prph nerves and autonm nervous sys","uncrt behav prph nerves autonm nervous sys neoplm"
"icd10cm:D483:official","neoplasm of uncertain behavior of retroperitoneum","uncertain behavior retroperitoneum neoplasm"
"icd10cm:D484:official","neoplasm of uncertain behavior of peritoneum","uncertain behavior peritoneum neoplasm"
"icd10cm:D485:official","neoplasm of uncertain behavior of skin","uncertain behavior skin neoplasm"
"icd10cm:D4860:official","neoplasm of uncertain behavior of unspecified breast","uncertain behavior breast neoplasm"
"icd10cm:D4861:official","neoplasm of uncertain behavior of right breast","uncertain behavior right breast neoplasm"
"icd10cm:D4862:official","neoplasm of uncertain behavior of left breast","uncertain behavior left breast neoplasm"
"icd10cm:D487:official","neoplasm of uncertain behavior of other specified sites","uncertain behavior specified sites neoplasm"
"icd10cm:D489:official","neoplasm of uncertain behavior, unspecified","uncertain behavior neoplasm"
"icd10cm:D490:official","neoplasm of unspecified behavior of digestive system","behavior digestive system neoplasm"
"icd10cm:D491:official","neoplasm of unspecified behavior of respiratory system","behavior respiratory system neoplasm"
"icd10cm:D492:official","neoplasm of unspecified behavior of bone, soft tissue, and skin","behavior bone soft tissue skin neoplasm"
"icd10cm:D492:official+abbr","neoplasm of unsp behavior of bone, soft tissue, and skin","unsp behavior bone soft tissue skin neoplasm"
"icd10cm:D493:official","neoplasm of unspecified behavior of breast","behavior breast neoplasm"
"icd10cm:D494:official","neoplasm of unspecified behavior of bladder","behavior bladder neoplasm"
"icd10cm:D49511:official","neoplasm of unspecified behavior of right kidney","behavior right kidney neoplasm"
"icd10cm:D49512:official","neoplasm of unspecified behavior of left kidney","behavior left kidney neoplasm"
"icd10cm:D49519:official","neoplasm of unspecified behavior of unspecified kidney","behavior kidney neoplasm"
"icd10cm:D4959:official","neoplasm of unspecified behavior of other genitourinary organ","behavior genitourinary organ neoplasm"
"icd10cm:D4959:official+abbr","neoplasm of unspecified behavior of other gu organ","behavior gu organ neoplasm"
"icd10cm:D496:official","neoplasm of unspecified behavior of brain","behavior brain neoplasm"
"icd10cm:D497:official","neoplasm of unspecified behavior of endocrine glands and other parts of nervous system","behavior endocrine glands parts nervous system neoplasm"
"icd10cm:D497:official+abbr","neoplm of unsp behav of endo glands and oth prt nervous sys","unsp behav endo glands oth prt nervous sys neoplm"
"icd10cm:D4981:official","neoplasm of unspecified behavior of retina and choroid","behavior retina choroid neoplasm"
"icd10cm:D4989:official","neoplasm of unspecified behavior of other specified sites","behavior specified sites neoplasm"
"icd10cm:D499:official","neoplasm of unspecified behavior of unspecified site","behavior site neoplasm"
"icd10cm:D500:official","iron deficiency anemia secondary to blood loss (chronic)","iron deficiency anemia"
"icd10cm:D508:official","other iron deficiency anemias","iron deficiency anemias"
"icd10cm:D510:official","vitamin b12 deficiency anemia due to intrinsic factor deficiency","vitamin b12 deficiency anemia"
"icd10cm:D510:official+abbr","vitamin b12 defic anemia due to intrinsic factor deficiency","vitamin b12 defic anemia"
"icd10cm:D511:official+abbr","vit b12 defic anemia d/t slctv vit b12 malabsorp w protein","vit malabsorp protein"
"icd10cm:D513:official","other dietary vitamin b12 deficiency anemia","dietary b12 anemia"
"icd10cm:D518:official","other vitamin b12 deficiency anemias","vitamin b12 deficiency anemias"
"icd10cm:D521:official","drug-induced folate deficiency anemia","drug folate anemia"
"icd10cm:D528:official","other folate deficiency anemias","folate deficiency anemias"
"icd10cm:D529:official","folate deficiency anemia, unspecified","folate deficiency anemia"
"icd10cm:D531:official","other megaloblastic anemias, not elsewhere classified","megaloblastic anemias"
"icd10cm:D538:official","other specified nutritional anemias","specified nutritional anemias"
"icd10cm:D539:official","nutritional anemia, unspecified","nutritional anemia"
"icd10cm:D550:official","anemia due to glucose-6-phosphate dehydrogenase [g6pd] deficiency","anemia"
"icd10cm:D551:official","anemia due to other disorders of glutathione metabolism","glutathione metabolism anemia disorders"
"icd10cm:D5529:official","anemia due to other disorders of glycolytic enzymes","glycolytic enzymes anemia disorders"
"icd10cm:D553:official","anemia due to disorders of nucleotide metabolism","nucleotide metabolism anemia disorders"
"icd10cm:D558:official","other anemias due to enzyme disorders","anemias"
"icd10cm:D562:official","delta-beta thalassemia","delta beta thalassemia"
"icd10cm:D564:official","hereditary persistence of fetal hemoglobin [hpfh]","fetal hemoglobin hpfh hereditary persistence"
"icd10cm:D565:official","hemoglobin e-beta thalassemia","hemoglobin e beta thalassemia"
"icd10cm:D568:official","other thalassemias","thalassemias"
"icd10cm:D569:official","thalassemia, unspecified","thalassemia"
"icd10cm:D5700:official","hb-ss disease with crisis, unspecified","hb ss disease"
"icd10cm:D571:official","sickle-cell disease without crisis","sickle cell disease"
"icd10cm:D5720:official","sickle-cell/hb-c disease without crisis","sickle hb disease"
"icd10cm:D573:official","sickle-cell trait","sickle cell trait"
"icd10cm:D5740:official","sickle-cell thalassemia without crisis","sickle cell thalassemia"
"icd10cm:D5742:official","sickle-cell thalassemia beta zero without crisis","sickle thalassemia zero"
"icd10cm:D5744:official","sickle-cell thalassemia beta plus without crisis","sickle thalassemia plus"
"icd10cm:D5780:official","other sickle-cell disorders without crisis","sickle cell disorders"
"icd10cm:D582:official","other hemoglobinopathies","hemoglobinopathies"
"icd10cm:D588:official","other specified hereditary hemolytic anemias","specified hereditary hemolytic anemias"
"icd10cm:D589:official","hereditary hemolytic anemia, unspecified","hereditary hemolytic anemia"
"icd10cm:D590:official","drug-induced autoimmune hemolytic anemia","autoimmune hemolytic anemia"
"icd10cm:D5913:official","mixed type autoimmune hemolytic anemia","mixed autoimmune anemia"
"icd10cm:D592:official","drug-induced nonautoimmune hemolytic anemia","nonautoimmune hemolytic anemia"
"icd10cm:D5930:official","hemolytic-uremic syndrome, unspecified","hemolytic uremic syndrome"
"icd10cm:D5932:official","hereditary hemolytic-uremic syndrome","hereditary hemolytic uremic syndrome"
"icd10cm:D594:official","other nonautoimmune hemolytic anemias","nonautoimmune hemolytic anemias"
"icd10cm:D595:official","paroxysmal nocturnal hemoglobinuria [marchiafava-micheli]","hemoglobinuria marchiafava micheli"
"icd10cm:D596:official","hemoglobinuria due to hemolysis from other external causes","hemoglobinuria"
"icd10cm:D598:official","other acquired hemolytic anemias","acquired hemolytic anemias"
"icd10cm:D599:official","acquired hemolytic anemia, unspecified","acquired hemolytic anemia"
"icd10cm:D600:official","chronic acquired pure red cell aplasia","pure red aplasia"
"icd10cm:D608:official","other acquired pure red cell aplasias","pure red aplasias"
"icd10cm:D6101:official","constitutional (pure) red blood cell aplasia","constitutional red aplasia"
"icd10cm:D6102:official","shwachman-diamond syndrome","shwachman diamond syndrome"
"icd10cm:D6109:official","other constitutional aplastic anemia","constitutional aplastic anemia"
"icd10cm:D611:official","drug-induced aplastic anemia","drug induced aplastic anemia"
"icd10cm:D612:official","aplastic anemia due to other external agents","aplastic anemia"
"icd10cm:D61811:official","other drug-induced pancytopenia","drug induced pancytopenia"
"icd10cm:D61818:official","other pancytopenia","pancytopenia"
"icd10cm:D6189:official","other specified aplastic anemias and other bone marrow failure syndromes","anemias marrow syndromes"
"icd10cm:D630:official","anemia in neoplastic disease","anemia neoplastic disease"
"icd10cm:D631:official","anemia in chronic kidney disease","anemia kidney disease"
"icd10cm:D638:official","anemia in other chronic diseases classified elsewhere","anemia diseases elsewhere"
"icd10cm:D641:official","secondary sideroblastic anemia due to disease","sideroblastic anemia"
"icd10cm:D643:official","other sideroblastic anemias","sideroblastic anemias"
"icd10cm:D6489:official","other specified anemias","specified anemias"
"icd10cm:D65:official","disseminated intravascular coagulation [defibrination syndrome]","intravascular defibrination syndrome"
"icd10cm:D6800:official","von willebrand disease, unspecified","von willebrand disease"
"icd10cm:D682:official","hereditary deficiency of other clotting factors","clotting factors hereditary deficiency"
"icd10cm:D68312:official","antiphospholipid antibody with hemorrhagic disorder","antiphospholipid antibody"
"icd10cm:D68318:official","other hemorrhagic disorder due to intrinsic circulating anticoagulants, antibodies, or inhibitors","hemorrhagic disorder"
"icd10cm:D68318:official+abbr","oth hemorrhagic disord d/t intrns circ anticoag,antib,inhib","intrns circ anticoag"
"icd10cm:D6832:official+abbr","hemorrhagic disord d/t extrinsic circulating anticoagulants","extrinsic circulating anticoagulants"
"icd10cm:D6859:official","other primary thrombophilia","primary thrombophilia"
"icd10cm:D6869:official","other thrombophilia","thrombophilia"
"icd10cm:D688:official","other specified coagulation defects","specified coagulation defects"
"icd10cm:D689:official","coagulation defect, unspecified","coagulation defect"
"icd10cm:D692:official","other nonthrombocytopenic purpura","nonthrombocytopenic purpura"
"icd10cm:D6942:official","congenital and hereditary thrombocytopenia purpura","hereditary thrombocytopenia purpura"
"icd10cm:D6949:official","other primary thrombocytopenia","primary thrombocytopenia"
"icd10cm:D6959:official","other secondary thrombocytopenia","thrombocytopenia"
"icd10cm:D698:official","other specified hemorrhagic conditions","specified hemorrhagic conditions"
"icd10cm:D699:official","hemorrhagic condition, unspecified","hemorrhagic condition"
"icd10cm:D701:official","agranulocytosis secondary to cancer chemotherapy","agranulocytosis"
"icd10cm:D702:official","other drug-induced agranulocytosis","drug induced agranulocytosis"
"icd10cm:D703:official","neutropenia due to infection","neutropenia"
"icd10cm:D718:official","other functional disorders of polymorphonuclear neutrophils","polymorphonuclear neutrophils functional disorders"
"icd10cm:D719:official+abbr","functional disorders of polymorphonuclear neutrophils, unsp","polymorphonuclear neutrophils unsp functional disorders"
"icd10cm:D720:official","genetic anomalies of leukocytes","leukocytes genetic anomalies"
"icd10cm:D7210:official","eosinophilia, unspecified","eosinophilia"
"icd10cm:D72110:official","idiopathic hypereosinophilic syndrome [ihes]","idiopathic hypereosinophilic syndrome ihes"
"icd10cm:D72111:official","lymphocytic variant hypereosinophilic syndrome [lhes]","variant hypereosinophilic lhes"
"icd10cm:D72118:official","other hypereosinophilic syndrome","hypereosinophilic syndrome"
"icd10cm:D72119:official","hypereosinophilic syndrome [hes], unspecified","hypereosinophilic syndrome hes"
"icd10cm:D7212:official","drug rash with eosinophilia and systemic symptoms syndrome","drug rash"
"icd10cm:D7218:official","eosinophilia in diseases classified elsewhere","eosinophilia diseases elsewhere"
"icd10cm:D72818:official","other decreased white blood cell count","decreased white count"
"icd10cm:D72820:official","lymphocytosis (symptomatic)","lymphocytosis"
"icd10cm:D72821:official","monocytosis (symptomatic)","monocytosis"
"icd10cm:D72828:official","other elevated white blood cell count","elevated white count"
"icd10cm:D7289:official","other specified disorders of white blood cells","white blood cells specified disorders"
"icd10cm:D729:official","disorder of white blood cells, unspecified","white blood cells disorder"
"icd10cm:D733:official","abscess of spleen","spleen abscess"
"icd10cm:D734:official","cyst of spleen","spleen cyst"
"icd10cm:D735:official","infarction of spleen","spleen infarction"
"icd10cm:D7389:official","other diseases of spleen","spleen diseases"
"icd10cm:D739:official","disease of spleen, unspecified","spleen disease"
"icd10cm:D748:official","other methemoglobinemias","methemoglobinemias"
"icd10cm:D749:official","methemoglobinemia, unspecified","methemoglobinemia"
"icd10cm:D751:official","secondary polycythemia","polycythemia"
"icd10cm:D75821:official","non-immune heparin-induced thrombocytopenia","immune heparin thrombocytopenia"
"icd10cm:D75822:official","immune-mediated heparin-induced thrombocytopenia","mediated heparin thrombocytopenia"
"icd10cm:D75828:official","other heparin-induced thrombocytopenia syndrome","heparin induced thrombocytopenia syndrome"
"icd10cm:D75829:official","heparin-induced thrombocytopenia, unspecified","heparin induced thrombocytopenia"
"icd10cm:D75838:official","other thrombocytosis","thrombocytosis"
"icd10cm:D7584:official","other platelet-activating anti-pf4 disorders","activating pf4 disorders"
"icd10cm:D7589:official","other specified diseases of blood and blood-forming organs","blood blood forming organs specified diseases"
"icd10cm:D759:official","disease of blood and blood-forming organs, unspecified","blood blood forming organs disease"
"icd10cm:D75A:official","glucose-6-phosphate dehydrogenase (g6pd) deficiency without anemia","phosphate g6pd deficiency"
"icd10cm:D75A:official+abbr","glucose-6-phosphate dehydrgnse (g6pd) defic without anemia","dehydrgnse g6pd defic"
"icd10cm:D762:official","hemophagocytic syndrome, infection-associated","hemophagocytic syndrome"
"icd10cm:D763:official","other histiocytosis syndromes","histiocytosis syndromes"
"icd10cm:D77:official","other disorders of blood and blood-forming organs in diseases classified elsewhere","blood blood forming organs diseases classified elsewhere disorders"
"icd10cm:D77:official+abbr","oth disord of bld/bld-frm organs in diseases classd elswhr","bld bld frm organs diseases classd elswhr oth disord"
"icd10cm:D7801:official","intraoperative hemorrhage and hematoma of the spleen complicating a procedure on the spleen","the spleen complicating procedure the spleen intraoperative hemorrhage hematoma"
"icd10cm:D7801:official+abbr","intraop hemor/hemtom of the spleen comp a proc on the spleen","the spleen comp proc the spleen intraop hemor hemtom"
"icd10cm:D7802:official","intraoperative hemorrhage and hematoma of the spleen complicating other procedure","the spleen complicating procedure intraoperative hemorrhage hematoma"
"icd10cm:D7802:official+abbr","intraop hemor/hemtom of the spleen comp oth procedure","the spleen comp oth procedure intraop hemor hemtom"
"icd10cm:D7811:official","accidental puncture and laceration of the spleen during a procedure on the spleen","the spleen during procedure the spleen accidental puncture laceration"
"icd10cm:D7811:official+abbr","accidental pnctr & lac of the spleen dur proc on the spleen","the spleen dur proc the spleen accidental pnctr lac"
"icd10cm:D7812:official","accidental puncture and laceration of the spleen during other procedure","the spleen during procedure accidental puncture laceration"
"icd10cm:D7812:official+abbr","accidental pnctr & lac of the spleen during oth procedure","the spleen during oth procedure accidental pnctr lac"
"icd10cm:D7821:official","postprocedural hemorrhage of the spleen following a procedure on the spleen","the spleen following procedure the spleen postprocedural hemorrhage"
"icd10cm:D7821:official+abbr","postprocedural hemorrhage of the spleen fol proc on spleen","the spleen fol proc spleen postprocedural hemorrhage"
"icd10cm:D7822:official","postprocedural hemorrhage of the spleen following other procedure","the spleen following procedure postprocedural hemorrhage"
"icd10cm:D7822:official+abbr","postproc hemorrhage of the spleen following other procedure","the spleen following procedure postproc hemorrhage"
"icd10cm:D7831:official","postprocedural hematoma of the spleen following a procedure on the spleen","the spleen following procedure the spleen postprocedural hematoma"
"icd10cm:D7831:official+abbr","postprocedural hematoma of the spleen fol proc on spleen","the spleen fol proc spleen postprocedural hematoma"
"icd10cm:D7832:official","postprocedural hematoma of the spleen following other procedure","the spleen following procedure postprocedural hematoma"
"icd10cm:D7832:official+abbr","postproc hematoma of the spleen following other procedure","the spleen following procedure postproc hematoma"
"icd10cm:D7833:official","postprocedural seroma of the spleen following a procedure on the spleen","the spleen following procedure the spleen postprocedural seroma"
"icd10cm:D7833:official+abbr","postprocedural seroma of the spleen fol proc on spleen","the spleen fol proc spleen postprocedural seroma"
"icd10cm:D7834:official","postprocedural seroma of the spleen following other procedure","the spleen following procedure postprocedural seroma"
"icd10cm:D7834:official+abbr","postproc seroma of the spleen following other procedure","the spleen following procedure postproc seroma"
"icd10cm:D7881:official","other intraoperative complications of the spleen","the spleen intraoperative complications"
"icd10cm:D7889:official","other postprocedural complications of the spleen","the spleen postprocedural complications"
"icd10cm:D802:official","selective deficiency of immunoglobulin a [iga]","immunoglobulin iga selective deficiency"
"icd10cm:D803:official","selective deficiency of immunoglobulin g [igg] subclasses","immunoglobulin g igg subclasses selective deficiency"
"icd10cm:D804:official","selective deficiency of immunoglobulin m [igm]","immunoglobulin m igm selective deficiency"
"icd10cm:D805:official","immunodeficiency with increased immunoglobulin m [igm]","immunodeficiency"
"icd10cm:D806:official","antibody deficiency with near-normal immunoglobulins or with hyperimmunoglobulinemia","antibody deficiency"
"icd10cm:D806:official+abbr","antibody defic w near-norm immunoglob or w hyperimmunoglob","norm immunoglob hyperimmunoglob"
"icd10cm:D807:official","transient hypogammaglobulinemia of infancy","infancy transient hypogammaglobulinemia"
"icd10cm:D808:official","other immunodeficiencies with predominantly antibody defects","immunodeficiencies"
"icd10cm:D810:official","severe combined immunodeficiency [scid] with reticular dysgenesis","severe combined immunodeficiency scid"
"icd10cm:D810:official+abbr","severe combined immunodeficiency with reticular dysgenesis","severe combined immunodeficiency"
"icd10cm:D811:official+abbr","severe combined immunodeficiency w low t- and b-cell numbers","t b numbers"
"icd10cm:D812:official+abbr","severe combined immunodef w low or normal b-cell numbers","normal b numbers"
"icd10cm:D8130:official","adenosine deaminase deficiency, unspecified","adenosine deaminase deficiency"
"icd10cm:D8131:official+abbr","severe combined immunodef due to adenosine deaminase defic","severe combined immunodef"
"icd10cm:D815:official","purine nucleoside phosphorylase [pnp] deficiency","nucleoside pnp deficiency"
"icd10cm:D816:official","major histocompatibility complex class i deficiency","histocompatibility class deficiency"
"icd10cm:D81818:official","other biotin-dependent carboxylase deficiency","biotin dependent carboxylase deficiency"
"icd10cm:D8182:official","activated phosphoinositide 3-kinase delta syndrome [apds]","activated phosphoinositide apds"
"icd10cm:D8189:official","other combined immunodeficiencies","combined immunodeficiencies"
"icd10cm:D819:official","combined immunodeficiency, unspecified","combined immunodeficiency"
"icd10cm:D820:official","wiskott-aldrich syndrome","wiskott aldrich syndrome"
"icd10cm:D823:official","immunodeficiency following hereditary defective response to epstein-barr virus","epstein barr virus"
"icd10cm:D823:official+abbr","immunodef fol heredit defctv response to epstein-barr virus","heredit defctv virus"
"icd10cm:D824:official","hyperimmunoglobulin e [ige] syndrome","hyperimmunoglobulin e ige syndrome"
"icd10cm:D828:official","immunodeficiency associated with other specified major defects","immunodeficiency associated"
